LAMMPS data file converted from liquid-64.xyz

192 atoms
2 atom types

0.0 12.415238 xlo xhi
0.0 12.415238 ylo yhi
0.0 12.415238 zlo zhi

Masses

1 1.0080 # H
2 15.9990 # O

Atoms

171 2 11.091248 3.524962 2.570800
172 1 6.856335 6.563562 4.461459
173 1 6.095048 5.851846 5.718733
174 2 6.200515 6.702489 5.203561
175 1 9.270752 8.192349 3.535507
176 1 10.844622 7.962648 3.905647
177 2 10.094762 8.624325 3.902276
178 1 7.699985 3.502465 9.203764
179 1 8.091366 1.921995 9.078179
180 2 8.456057 2.848893 9.167507
181 1 10.159279 9.215777 9.047425
182 1 8.937305 10.288320 9.199963
183 2 9.931198 10.177434 9.200106
184 1 4.783578 1.064121 6.643159
185 1 4.095406 2.392258 5.987944
186 2 4.548397 2.023449 6.799669
187 1 4.899495 1.256397 8.826668
188 1 5.803549 2.595485 8.589251
189 2 5.813975 1.595618 8.605825
190 1 0.733621 7.907844 2.123235
191 1 0.690204 6.281142 2.260324
192 2 0.444282 7.058624 1.681392
